,ROI,Yeo_Network,Yeo_Index,hist_g2_value
80,Temporal_Pole_Sup_L,7networks_LH_Limbic,5,0.362285
81,Temporal_Pole_Sup_R,7networks_RH_Limbic,5,0.378884
27,Rectus_R,7networks_RH_Limbic,5,0.386244
39,ParaHippocampal_R,7networks_RH_Limbic,5,0.394873
60,Parietal_Inf_L,7networks_LH_Cont,6,-0.104041
7,Frontal_Mid_R,7networks_RH_Cont,6,-0.0532717
6,Frontal_Mid_L,7networks_LH_Cont,6,-0.0243528
12,Frontal_Inf_Tri_L,7networks_LH_Cont,6,-0.0105038
13,Frontal_Inf_Tri_R,7networks_RH_Cont,6,0.00813057
9,Frontal_Mid_Orb_R,7networks_RH_Cont,6,0.124655
8,Frontal_Mid_Orb_L,7networks_LH_Cont,6,0.131386
35,Cingulum_Post_R,7networks_RH_Default,7,-0.080374
34,Cingulum_Post_L,7networks_LH_Default,7,-0.0683547
65,Angular_R,7networks_RH_Default,7,-0.0225046
64,Angular_L,7networks_LH_Default,7,-0.0185315
14,Frontal_Inf_Orb_L,7networks_LH_Default,7,-0.00752688
82,Temporal_Mid_L,7networks_LH_Default,7,-0.00254664
67,Precuneus_R,7networks_RH_Default,7,0.00612811
66,Precuneus_L,7networks_LH_Default,7,0.00802713
32,Cingulum_Mid_L,7networks_LH_Default,7,0.00923368
2,Frontal_Sup_L,7networks_LH_Default,7,0.0262288
3,Frontal_Sup_R,7networks_RH_Default,7,0.0356533
83,Temporal_Mid_R,7networks_RH_Default,7,0.0448413
15,Frontal_Inf_Orb_R,7networks_RH_Default,7,0.0526184
23,Frontal_Sup_Medial_R,7networks_RH_Default,7,0.101903
30,Cingulum_Ant_L,7networks_LH_Default,7,0.121803
22,Frontal_Sup_Medial_L,7networks_LH_Default,7,0.134695
31,Cingulum_Ant_R,7networks_RH_Default,7,0.191628
25,Frontal_Med_Orb_R,7networks_RH_Default,7,0.255624
24,Frontal_Med_Orb_L,7networks_LH_Default,7,0.266983
70,Caudate_L,Subcortex,8,-0.5
71,Caudate_R,Subcortex,8,-0.5
72,Putamen_L,Subcortex,8,-0.5
73,Putamen_R,Subcortex,8,-0.5
74,Thalamus_L,Subcortex,8,-0.5
75,Thalamus_R,Subcortex,8,-0.5
37,Hippocampus_R,Subcortex,8,0.228782
41,Amygdala_R,Subcortex,8,0.237555
36,Hippocampus_L,Subcortex,8,0.264563
20,Olfactory_L,Subcortex,8,0.272807
40,Amygdala_L,Subcortex,8,0.293274
21,Olfactory_R,Subcortex,8,0.348359
88,Cerebelum_Crus1_L,Cerebellum,9,-0.5
89,Cerebelum_Crus1_R,Cerebellum,9,-0.5
90,Cerebelum_Crus2_L,Cerebellum,9,-0.5
91,Cerebelum_Crus2_R,Cerebellum,9,-0.5
92,Cerebelum_3_L,Cerebellum,9,-0.5
93,Cerebelum_3_R,Cerebellum,9,-0.5
94,Cerebelum_4_5_L,Cerebellum,9,-0.5
95,Cerebelum_4_5_R,Cerebellum,9,-0.5
96,Cerebelum_6_L,Cerebellum,9,-0.5
97,Cerebelum_6_R,Cerebellum,9,-0.5
98,Cerebelum_7b_L,Cerebellum,9,-0.5
99,Cerebelum_7b_R,Cerebellum,9,-0.5
100,Cerebelum_8_L,Cerebellum,9,-0.5
101,Cerebelum_8_R,Cerebellum,9,-0.5
102,Cerebelum_9_L,Cerebellum,9,-0.5
103,Cerebelum_9_R,Cerebellum,9,-0.5
104,Cerebelum_10_L,Cerebellum,9,-0.5
105,Cerebelum_10_R,Cerebellum,9,-0.5
106,Vermis_1,Cerebellum,9,-0.5
107,Vermis_2,Cerebellum,9,-0.5
108,Vermis_3,Cerebellum,9,-0.5
