Unnamed: 0,ROI,Yeo_Network,Yeo_Index,hist_g2_value,FC_pos_coefs,FC_neg_coefs,FCgsr_pos_coefs,FCgsr_neg_coefs
40.0,Amygdala_L,Subcortex,8.0,0.293274,0.0029018580949862,-0.0176708346453795,0.0070868739227373,-0.0083348672114802
41.0,Amygdala_R,Subcortex,8.0,0.237555,0.0016036832165025,-0.0189235811922174,0.0050531636890751,-0.0083015282407748
42.0,Calcarine_L,Visual,1.0,-0.342774,0.0119418151840314,-0.010292418491601,0.0146346960363832,-0.0118658548554656
43.0,Calcarine_R,Visual,1.0,-0.352656,0.0115757363810485,-0.0105779441904918,0.0154493935495816,-0.01219007831204
44.0,Cuneus_L,Visual,1.0,-0.342567,0.0090233526043923,-0.0142984046749829,0.0116320517729103,-0.0109522413229196
45.0,Cuneus_R,Visual,1.0,-0.293172,0.0097034076203782,-0.0128944375193765,0.0111810296149368,-0.0109547553042323
46.0,Lingual_L,Visual,1.0,-0.0626755,0.0067901083854512,-0.0191700423282049,0.0148045401126029,-0.0100440813558873
47.0,Lingual_R,Visual,1.0,-0.157892,0.0075047418119183,-0.0207907554610821,0.0184093282739224,-0.011191420371571
48.0,Occipital_Sup_L,Visual,1.0,-0.277223,0.0068455548278821,-0.0229057502810284,0.0114009095956306,-0.0124239055397541
49.0,Occipital_Sup_R,Visual,1.0,-0.368264,0.0082588471304839,-0.0207123544466877,0.0122425840272965,-0.0140460901293846
50.0,Occipital_Mid_L,Visual,1.0,-0.123492,0.0049424948263286,-0.0192503335091197,0.0073107214640917,-0.0105623104035925
51.0,Occipital_Mid_R,Visual,1.0,-0.246503,0.0052447763838949,-0.0227733470587512,0.0094881837387956,-0.0114135156892031
52.0,Occipital_Inf_L,Visual,1.0,-0.113959,0.0043601658099249,-0.0331295377231836,0.0134117254118383,-0.0089932194997138
53.0,Occipital_Inf_R,Visual,1.0,-0.290925,0.0026670581033732,-0.0331684031587184,0.0113728765971423,-0.0093779342845053
54.0,Fusiform_L,Visual,1.0,0.194497,0.0042541967563865,-0.0346528526059145,0.0119743845311629,-0.0133345145980202
55.0,Fusiform_R,Visual,1.0,0.14811,0.005017235261331,-0.0348157848111176,0.012247226290594,-0.0138262246119226
56.0,Postcentral_L,SomMot,2.0,-0.195907,0.002390931736872,-0.0217763375119829,0.0086425917383632,-0.0093569867330142
57.0,Postcentral_R,SomMot,2.0,-0.180722,0.0033402045257005,-0.0246914771413136,0.0095500198520862,-0.009905737336521
58.0,Parietal_Sup_L,DorsAttn,3.0,-0.0968148,0.0025865295262195,-0.0252087838835374,0.0081294565763203,-0.0077399055025553
59.0,Parietal_Sup_R,DorsAttn,3.0,-0.0924135,0.0032383417413809,-0.0311571781153249,0.0095559839009803,-0.0094157599687641
60.0,Parietal_Inf_L,Control,6.0,-0.104041,0.0042931494805174,-0.012051095124041,0.0085864077939296,-0.0067305851445017
61.0,Parietal_Inf_R,DorsAttn,3.0,-0.0471231,0.0033799366330725,-0.010844059969455,0.0075589789088842,-0.007580354181764
62.0,SupraMarginal_L,DorsAttn,3.0,0.0947953,0.0098000863652413,-0.0079967479159893,0.0119653535884526,-0.0064589081459721
63.0,SupraMarginal_R,SalVentAttn,4.0,0.0913658,0.0073255338302076,-0.0083281286836571,0.0080213429945203,-0.0074005768925429
64.0,Angular_L,Default,7.0,-0.0185315,0.0056311599053086,-0.0234282177421415,0.0099435494760591,-0.0172389439560619
65.0,Angular_R,Default,7.0,-0.0225046,0.00584563455505,-0.0206619230545297,0.0071725729655906,-0.0139988016265597
66.0,Precuneus_L,Default,7.0,0.00802713,0.0061648411345415,-0.0244178044227101,0.0110475695724595,-0.0136739385761472
67.0,Precuneus_R,Default,7.0,0.00612811,0.0064277106535981,-0.0224219432044144,0.0099907274521413,-0.01270835667996
68.0,Paracentral_Lobule_L,SomMot,2.0,-0.132279,0.002451267441244,-0.0281604252494702,0.0085658650210073,-0.0048658994443458
69.0,Paracentral_Lobule_R,SomMot,2.0,-0.146459,0.0021537365356649,-0.0250514142173404,0.0088973431385169,-0.0051079712111273
70.0,Caudate_L,Subcortex,8.0,-0.5,0.0038558249097968,-0.0145421427742091,0.0105936042145887,-0.0073130766271163
71.0,Caudate_R,Subcortex,8.0,-0.5,0.0054814151625185,-0.0128685939335053,0.0119065707887337,-0.0093034859527005
72.0,Putamen_L,Subcortex,8.0,-0.5,0.009160595632735,-0.0143969511094667,0.014341983890983,-0.0130634174410097
73.0,Putamen_R,Subcortex,8.0,-0.5,0.0102969647656429,-0.0124049919203287,0.0131445862137533,-0.0108313271829969
74.0,Thalamus_L,Subcortex,8.0,-0.5,,,,
75.0,Thalamus_R,Subcortex,8.0,-0.5,,,,
76.0,Heschl_L,SomMot,2.0,-0.319112,0.0064036198844358,-0.0053355296017224,0.0089082219300276,-0.0054379189849298
77.0,Heschl_R,SomMot,2.0,-0.316199,0.0085741100732063,-0.0063175176769979,0.0094196720913443,-0.0052109791445138
78.0,Temporal_Sup_L,SomMot,2.0,-0.11375,0.0110490757731942,-0.0091652414461476,0.0134661394686902,-0.0110879134572075
79.0,Temporal_Sup_R,SomMot,2.0,-0.0237426,0.0090213157227762,-0.0114992419396543,0.0155512802999062,-0.011367390203274
80.0,Temporal_Pole_Sup_L,Limbic,5.0,0.362285,0.0024273581851041,-0.015837689111575,0.0083439192429938,-0.0094442510351817
81.0,Temporal_Pole_Sup_R,Limbic,5.0,0.378884,0.0015080736253082,-0.0193371698454997,0.0089640893024086,-0.0106897003420181
82.0,Temporal_Mid_L,Default,7.0,-0.00254664,0.0023207040049208,-0.0225927304152165,0.0077989078349597,-0.0100567282778081
83.0,Temporal_Mid_R,Default,7.0,0.0448413,0.0021058766601142,-0.0175241766391943,0.0079981493368251,-0.015468395945217
84.0,Temporal_Pole_Mid_L,Limbic,5.0,0.313014,0.002176684385027,-0.0317268765379143,0.0047581173428861,-0.0142492965480967
85.0,Temporal_Pole_Mid_R,Limbic,5.0,0.343846,0.001892989665135,-0.030856129913296,0.0046793707984531,-0.0154257039891897
86.0,Temporal_Inf_L,Limbic,5.0,0.146315,0.003074129683913,-0.0206962600402189,0.0076346210281012,-0.0120208182653987
87.0,Temporal_Inf_R,Limbic,5.0,0.200466,0.0027967498749662,-0.0195978720011812,0.0058571357994751,-0.0138809483093549
88.0,Cerebelum_Crus1_L,Cerebellum,9.0,-0.5,0.0022214931005207,-0.0284276609786027,0.0101818813237306,-0.0101772520316871
89.0,Cerebelum_Crus1_R,Cerebellum,9.0,-0.5,0.0021543213129224,-0.0341904714880693,0.0094829791678287,-0.0109507803818862
90.0,Cerebelum_Crus2_L,Cerebellum,9.0,-0.5,0.0090251280711613,-0.0202407275710336,0.0236303278582071,-0.00943046753493
91.0,Cerebelum_Crus2_R,Cerebellum,9.0,-0.5,0.0081351623868128,-0.021040167145028,0.0239341012937592,-0.010708510231578
92.0,Cerebelum_3_L,Cerebellum,9.0,-0.5,0.007634903857088,-0.0228257651886644,0.0203901218835972,-0.010238025613941
93.0,Cerebelum_3_R,Cerebellum,9.0,-0.5,0.0054369772193075,-0.0249749197890528,0.020420782215056,-0.0109649409498692
